Metric,Logistic Regression,Random Forest
Accuracy,0.9714785481755017,0.9717214906953014
Precision,0.9647442038704732,0.9661000672236627
Recall,0.9787151326659539,0.9777432209155409
F1-score,0.9716794519226131,0.9718867742247126
ROC-AUC,0.9970788961923082,0.9970788961923082
